path,type,rows,cols,null_count
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta11\S-Vta11.csv,Smartphone,510,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta11\V-vta11.csv,Vehicle,510,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta12\S-Vta12.csv,Smartphone,610,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta12\V-vta12.csv,Vehicle,610,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta13\S-Vta13.csv,Smartphone,404,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta13\V-vta13.csv,Vehicle,404,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta14\S-Vta14.csv,Smartphone,2885,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta14\V-vta14.csv,Vehicle,2885,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta15\S-Vta15.csv,Smartphone,833,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta15\V-vta15.csv,Vehicle,833,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta16\S-Vta16.csv,Smartphone,11335,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta16\V-vta16.csv,Vehicle,11335,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta17\S-Vta17.csv,Smartphone,4519,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta17\V-vta17.csv,Vehicle,4519,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta19\S-Vta19.csv,Smartphone,292,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta19\V-vta19.csv,Vehicle,292,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta20\S-Vta20.csv,Smartphone,3223,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta20\V-vta20.csv,Vehicle,3223,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta21\S-Vta21.csv,Smartphone,2079,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta21\V-vta21.csv,Vehicle,2079,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta22\S-Vta22.csv,Smartphone,1564,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta22\V-vta22.csv,Vehicle,1564,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta23\S-Vta23.csv,Smartphone,1110,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta23\V-vta23.csv,Vehicle,1110,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta24\S-Vta24.csv,Smartphone,1171,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta24\V-vta24.csv,Vehicle,1171,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta25\S-Vta25.csv,Smartphone,646,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta25\V-vta25.csv,Vehicle,646,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta26\S-Vta26.csv,Smartphone,1935,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta26\V-vta26.csv,Vehicle,1935,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta27\S-Vta27.csv,Smartphone,2540,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta27\V-vta27.csv,Vehicle,2540,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta28\S-Vta28.csv,Smartphone,4210,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta28\V-vta28.csv,Vehicle,4210,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta29\S-Vta29.csv,Smartphone,23705,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta29\V-vta29.csv,Vehicle,23705,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta30\S-Vta30.csv,Smartphone,17136,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta30\V-vta30.csv,Vehicle,17136,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb01\S-Vtb1.csv,Smartphone,32459,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb01\V-vtb1.csv,Vehicle,32459,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb02\S-Vtb2.csv,Smartphone,5712,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb02\V-vtb2.csv,Vehicle,5712,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb03\S-Vtb3.csv,Smartphone,8240,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb03\V-vtb3.csv,Vehicle,8240,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb04\S-Vtb4.csv,Smartphone,556,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb04\V-vtb4.csv,Vehicle,556,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb05\S-Vtb5.csv,Smartphone,64388,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb05\V-vtb5.csv,Vehicle,64388,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb06\S-Vtb6.csv,Smartphone,498,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb06\V-vtb6.csv,Vehicle,498,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb07\S-Vtb7.csv,Smartphone,461,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb07\V-vtb7.csv,Vehicle,461,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb08\S-Vtb8.csv,Smartphone,668,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb08\V-vtb8.csv,Vehicle,668,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb09\S-Vtb9.csv,Smartphone,452,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb09\V-vtb9.csv,Vehicle,452,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb10\S-Vtb10.csv,Smartphone,196,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb10\V-vtb10.csv,Vehicle,195,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb11\S-Vtb11.csv,Smartphone,361,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb11\V-vtb11.csv,Vehicle,361,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb12\S-Vtb12.csv,Smartphone,447,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vtb (Driver E)\Vtb12\V-vtb12.csv,Vehicle,447,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw01\S-Vw1.csv,Smartphone,20476,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw01\V-Vw1.csv,Vehicle,20475,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw02\S-Vw2.csv,Smartphone,52713,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw02\V-Vw2.csv,Vehicle,52712,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw03\S-Vw3.csv,Smartphone,3861,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw03\V-Vw3.csv,Vehicle,3861,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw04\S-Vw4.csv,Smartphone,126526,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw04\V-Vw4.csv,Vehicle,126527,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw05\S-Vw5.csv,Smartphone,1012,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw05\V-Vw5.csv,Vehicle,1012,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw06\S-Vw6.csv,Smartphone,1281,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw06\V-Vw6.csv,Vehicle,1281,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw07\S-Vw7.csv,Smartphone,1602,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw07\V-Vw7.csv,Vehicle,1602,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw08\S-Vw8.csv,Smartphone,1529,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw08\V-Vw8.csv,Vehicle,1529,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw09\S-Vw9.csv,Smartphone,552,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw09\V-Vw9.csv,Vehicle,553,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw10\S-Vw10.csv,Smartphone,652,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw10\V-Vw10.csv,Vehicle,652,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw11\S-Vw11.csv,Smartphone,4909,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw11\V-Vw11.csv,Vehicle,4909,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw12\S-Vw12.csv,Smartphone,918,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw12\V-Vw12.csv,Vehicle,918,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw13\S-Vw13.csv,Smartphone,284,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw13\V-Vw13.csv,Vehicle,284,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw14a\S-Vw14a.csv,Smartphone,3138,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw14a\V-Vw14a.csv,Vehicle,3138,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw14b\S-Vw14b.csv,Smartphone,19588,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw14b\V-Vw14b.csv,Vehicle,19588,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw14c\S-Vw14c.csv,Smartphone,15826,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw14c\V-Vw14c.csv,Vehicle,15826,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw15\S-Vw15.csv,Smartphone,1380,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw15\V-Vw15.csv,Vehicle,1391,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw16a\S-Vw16a.csv,Smartphone,5879,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw16a\V-Vw16a.csv,Vehicle,5879,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw16b\S-Vw16b.csv,Smartphone,1126,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw16b\V-Vw16b.csv,Vehicle,1126,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw17\S-Vw17.csv,Smartphone,329,24,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Vw (Driver E)\Vw17\V-Vw17.csv,Vehicle,329,29,0
Synchronised V abd S datasets\Categorised IOVNB Dataset\Y (Driver D)\Y1\S-Y1.csv,Smartphone,70285,24,98
Synchronised V abd S datasets\Categorised IOVNB Dataset\Y (Driver D)\Y1\V-Y1.csv,Vehicle,70285,29,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-M.csv,Smartphone,105974,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-S1.csv,Smartphone,51746,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-S2.csv,Smartphone,93876,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-S3a.csv,Smartphone,24621,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-S3b.csv,Smartphone,6813,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-S3c.csv,Smartphone,37183,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-S4.csv,Smartphone,94600,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vfa01.csv,Smartphone,11486,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vfa02.csv,Smartphone,67523,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta10.csv,Smartphone,1502,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta11.csv,Smartphone,510,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta12.csv,Smartphone,610,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta13.csv,Smartphone,404,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta14.csv,Smartphone,2885,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta15.csv,Smartphone,833,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta16.csv,Smartphone,11335,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta17.csv,Smartphone,4519,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta19.csv,Smartphone,292,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta1a.csv,Smartphone,25676,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta1b.csv,Smartphone,954,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta2.csv,Smartphone,10991,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta20.csv,Smartphone,3223,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta21.csv,Smartphone,2079,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta22.csv,Smartphone,1564,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta23.csv,Smartphone,1110,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta24.csv,Smartphone,1171,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta25.csv,Smartphone,646,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta26.csv,Smartphone,1935,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta27.csv,Smartphone,2540,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta28.csv,Smartphone,4210,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta29.csv,Smartphone,23705,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta3.csv,Smartphone,645,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta30.csv,Smartphone,17136,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta4.csv,Smartphone,1789,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta5.csv,Smartphone,307,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta6.csv,Smartphone,1376,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta7.csv,Smartphone,840,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta8.csv,Smartphone,3676,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vta9.csv,Smartphone,156,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vtb1.csv,Smartphone,32459,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vtb10.csv,Smartphone,196,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vtb11.csv,Smartphone,361,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vtb12.csv,Smartphone,447,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vtb2.csv,Smartphone,5712,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vtb3.csv,Smartphone,8240,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vtb4.csv,Smartphone,556,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vtb5.csv,Smartphone,64388,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vtb6.csv,Smartphone,498,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vtb7.csv,Smartphone,461,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vtb8.csv,Smartphone,668,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vtb9.csv,Smartphone,452,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw1.csv,Smartphone,20476,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw10.csv,Smartphone,652,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw11.csv,Smartphone,4909,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw12.csv,Smartphone,918,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw13.csv,Smartphone,284,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw14a.csv,Smartphone,3138,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw14b.csv,Smartphone,19588,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw14c.csv,Smartphone,15826,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw15.csv,Smartphone,1380,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw16a.csv,Smartphone,5879,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw16b.csv,Smartphone,1126,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw17.csv,Smartphone,329,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw2.csv,Smartphone,52713,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw3.csv,Smartphone,3861,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw4.csv,Smartphone,126526,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw5.csv,Smartphone,1012,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw6.csv,Smartphone,1281,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw7.csv,Smartphone,1602,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw8.csv,Smartphone,1529,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Vw9.csv,Smartphone,552,24,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\S-Dataset\S-Y1.csv,Smartphone,70285,24,98
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\V-Dataset\V-M.csv,Vehicle,105974,29,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\V-Dataset\V-S1.csv,Vehicle,51746,29,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\V-Dataset\V-S2.csv,Vehicle,93876,29,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\V-Dataset\V-S3a.csv,Vehicle,24621,29,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\V-Dataset\V-S3b.csv,Vehicle,6813,29,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\V-Dataset\V-S3c.csv,Vehicle,37183,29,0
Synchronised V abd S datasets\Uncategorised IOVNB Dataset\V-Dataset\V-S4.csv,Vehicle,94600,29,0
